product_id,product (brand),type,length x depth x width (in cm),category || sub_category
P0183,Mint - Organically Grown (Fresho),Cold Drinks,14.2 x 3.8 x 11,Beverages || Energy & Soft Drinks
P0184,Lemon Grass (Fresho),Organic Vegetables,6 x 30 x 10,Fruits & Vegetables || Exotic Fruits & Veggies
P0185,"Sanitary Napkin - Extra Long, Travel Pack (Niine)",Indian & Exotic Herbs,1 x 20 x 30,Fruits & Vegetables || Exotic Fruits & Veggies
P0186,Cabbage (Fresho),Sanitary Napkins,8 x 16 x 8,Beauty & Hygiene || Feminine Hygiene
P0187,Cucumber (Fresho),Cabbage & Cauliflower,9 x 25 x 19,Fruits & Vegetables || Fresh Vegetables
P0188,Colocasia (Fresho),Cucumber & Capsicum,10 x 30 x 25,Fruits & Vegetables || Fresh Vegetables
P0189,Betel Leaf (Fresho),Root Vegetables,4 x 14.7 x 11,Fruits & Vegetables || Fresh Vegetables
P0190,Colocasia - Organically Grown (Fresho),Leafy Vegetables,6 x 19 x 14,Fruits & Vegetables || Fresh Vegetables
P0192,Colocasia - Organically Grown (Fresho),Organic Vegetables,15 x 15 x 40,Fruits & Vegetables || Fresh Vegetables
P0193,Organic Garlic Powder - Dehydrated (bb Royal),Organic Vegetables,6 x 3 x 6,Fruits & Vegetables || Organic Fruits & Vegetables
P0194,Orange Chewy Dragees (Mentos),Organic Masalas & Spices,6 x 7 x 9,"Foodgrains, Oil & Masala || Organic Staples"
P0195,Moonfils Orange (Bauli),"Toffee, Candy & Lollypop",6.5 x 7.5 x 12,Snacks & Branded Foods || Chocolates & Candies
P0196,Beetroot (Fresho),"Croissants, Bagels",5 x 23 x 20,"Bakery, Cakes & Dairy || Gourmet Breads"
P0197,Basale Leaf (Fresho),Root Vegetables,6 x 18 x 10,Fruits & Vegetables || Fresh Vegetables
P0198,Pain Relief Cream (Moov),Leafy Vegetables,1 x 16 x 3,Fruits & Vegetables || Fresh Vegetables
P0199,Yippee Magic Masala Noodles (Sunfeast),Everyday Medicine,15 x 24.9 x 9.3,Beauty & Hygiene || Health & Medicine
P0200,1-2-3 Noodles - Chicken Flavour (Wai Wai),Instant Noodles,4 x 13.5 x 9,"Snacks & Branded Foods || Noodle, Pasta, Vermicelli"
P0201,1-2-3 Noodles - Veg Masala Flavour (Wai Wai),Instant Noodles,3 x 14.5 x 4.9,"Snacks & Branded Foods || Noodle, Pasta, Vermicelli"
P0202,"Capsicum - Green, Organically Grown (Fresho)",Instant Noodles,1 x 1 x 1,"Snacks & Branded Foods || Noodle, Pasta, Vermicelli"
P0203,Puja Wicks - Lingam Batti (Jaji),Organic Vegetables,1 x 1 x 1,Fruits & Vegetables || Organic Fruits & Vegetables
P0204,1-2-3 Noodles - Chicken Flavour (Wai Wai),Camphor & Wicks,1.6 x 24 x 7,Cleaning & Household || Pooja Needs
P0205,1-2-3 Noodles - Veg Masala Flavour (Wai Wai),Instant Noodles,4 x 17.5 x 10,Snacks & Branded Foods || Snacks & Namkeen
P0206,Khatta Meetha (Tasties),Instant Noodles,6 x 12 x 6,Snacks & Branded Foods || Snacks & Namkeen
P0208,Moong Dal (Tasties),Namkeen & Savoury Snacks,1 x 1 x 1,Snacks & Branded Foods || Snacks & Namkeen
P0209,Aloo Bhujia (Tasties),Namkeen & Savoury Snacks,6 x 30.4 x 20,Snacks & Branded Foods || Snacks & Namkeen
P0210,CUBE Detergent Bar 2 In 1 (Ok),Namkeen & Savoury Snacks,5.2 x 33.5 x 12,Snacks & Branded Foods || Snacks & Namkeen
P0211,"Capsicum - Green, Organically Grown (Fresho)",Detergent Bars,14 x 7.2 x 15.7,Cleaning & Household || Detergents & Dishwash
P0212,Snake Gourd (Fresho),Organic Vegetables,6.5 x 12 x 18.5,Fruits & Vegetables || Exotic Fruits & Veggies
P0213,"Chilli - Green Long, Medium (Fresho)","Gourd, Pumpkin, Drumstick",1.5 x 24 x 7,Fruits & Vegetables || Fresh Vegetables
P0214,"Gold Glow Face Wash For Radiant Skin With Gold, Chandan, Turmeric (Olivia)","Lemon, Ginger & Garlic",,Fruits & Vegetables || Herbs & Seasonings
P0215,"Ultra-Fresh Fairness Face Wash With Milk, Licorice, Saffron (Olivia)",Face Care,3 x 12 x 10,Beauty & Hygiene || Skin Care
P0216,"Herbal Acne Repair Face Wash For Clear Skin With Neem, Tulsi, Aloe Vera (Olivia)",Face Care,1 x 1 x 1,Beauty & Hygiene || Skin Care
P0217,Safal Steel Scrubber (Exo),Face Care,8 x 6 x 14,Beauty & Hygiene || Skin Care
P0218,Spring Onion (Fresho),"Utensil Scrub-Pad, Glove",7.5 x 15 x 13,"Cleaning & Household || Mops, Brushes & Scrubs"
P0219,Coccinia - Organically Grown (Fresho),Leafy Vegetables,8.7 x 12.5 x 8.7,Fruits & Vegetables || Fresh Vegetables
P0220,Drumstick - Organically Grown (Fresho),Organic Vegetables,5 x 17 x 13,Fruits & Vegetables || Fresh Vegetables
P0221,Neem Giloy (Amruta Balli) - Organically Grown (Fresho),Organic Vegetables,2.7 x 12 x 6,Fruits & Vegetables || Fresh Vegetables
P0222,Curry Leaves - Organically Grown (Fresho),Organic Vegetables,14.5 x 20.5 x 18,Fruits & Vegetables || Herbs & Seasonings
P0223,Coccinia - Organically Grown (Fresho),Organic Vegetables,5.3 x 23.7 x 11.1,Fruits & Vegetables || Organic Fruits & Vegetables
P0224,Drumstick - Organically Grown (Fresho),Organic Vegetables,13 x 19 x 15,Fruits & Vegetables || Organic Fruits & Vegetables
P0225,Neem Giloy (Amruta Balli) - Organically Grown (Fresho),Organic Vegetables,4 x 8 x 4,Fruits & Vegetables || Organic Fruits & Vegetables
P0226,Post It - 1.5 x 2 Inches (Oddy ),Organic Vegetables,6.5 x 7 x 6.5,Fruits & Vegetables || Organic Fruits & Vegetables
P0227,"Treat Croissant - Cocoa Creme Roll, 100% Veg (Britannia)","Scissor, Glue & Tape",2 x 27 x 21,Cleaning & Household || Stationery
P0228,"Treat Croissant - Vanilla Creme Roll, 100% Veg (Britannia)",Gourmet Bread,5 x 28 x 16,"Bakery, Cakes & Dairy || Cakes & Pastries"
P0229,"Treat Croissant - Cocoa Creme Roll, 100% Veg (Britannia)",Gourmet Bread,5.6 x 8.4 x 5.6,"Bakery, Cakes & Dairy || Cakes & Pastries"
P0230,"Treat Croissant - Vanilla Creme Roll, 100% Veg (Britannia)",Gourmet Bread,2 x 36 x 19.5,"Bakery, Cakes & Dairy || Gourmet Breads"
P0231,Masala - Lemon Rice Powder (MTR),Gourmet Bread,3.7 x 18.9 x 7.7,"Bakery, Cakes & Dairy || Gourmet Breads"
P0232,Masala - Tomato Rice Powder (MTR),Blended Masalas,2.3 x 17 x 7.3,"Foodgrains, Oil & Masala || Masalas & Spices"
P0233,Nacho Crisps - Tikka Masala (Cornitos),Blended Masalas,1 x 56 x 30,"Foodgrains, Oil & Masala || Masalas & Spices"
P0234,Nacho Crisps - Tomato Mexicana (Cornitos),Nachos & Chips,10.9 x 35.1 x 23.2,"Gourmet & World Food || Snacks, Dry Fruits, Nuts"
P0235,Nacho Crisps - Cheese & Herbs (Cornitos),Nachos & Chips,15 x 31.2 x 11.8,"Gourmet & World Food || Snacks, Dry Fruits, Nuts"
P0237,Nacho Crisps - Barbeque (Cornitos),Nachos & Chips,24 x 77 x 2,"Gourmet & World Food || Snacks, Dry Fruits, Nuts"
P0238,Chewy Candy Stick - Strawberry Flavour (Mentos),Nachos & Chips,6 x 20 x 6,"Gourmet & World Food || Snacks, Dry Fruits, Nuts"
P0239,Chalk Cockroach Killer (HIT),Mints & Chewing Gum,4 x 18 x 14,Snacks & Branded Foods || Chocolates & Candies
P0240,Capsicum - Green (Fresho),Insect Repellent,9.4 x 14 x 8,Cleaning & Household || Fresheners & Repellents
P0241,Beans - Cluster (Fresho),Cucumber & Capsicum,5 x 13.8 x 5,Fruits & Vegetables || Fresh Vegetables
P0242,Brinjal - Varikatri (Fresho),"Beans, Brinjals & Okra",4.3 x 17.5 x 4.3,Fruits & Vegetables || Fresh Vegetables
P0243,Tomato - Hybrid (Fresho),"Beans, Brinjals & Okra",1 x 1 x 1,Fruits & Vegetables || Fresh Vegetables
P0245,Bitter Gourd - Organically Grown (Fresho),"Potato, Onion & Tomato",1.5 x 7.6 x 16.5,Fruits & Vegetables || Fresh Vegetables
P0246,Lettuce - Green (Fresho),Organic Vegetables,1.6 x 21 x 14,Fruits & Vegetables || Fresh Vegetables
P0247,Fresh Turmeric - Organically Grown (Fresho),Exotic Vegetables,5 x 28 x 15,Fruits & Vegetables || Fresh Vegetables
P0249,"Chilli - Bajji, Mild (Fresho)",Organic Vegetables,7.7 x 25.5 x 7.7,Fruits & Vegetables || Herbs & Seasonings
P0250,Mustard/Sasive/Rai - Small (bb Popular),"Lemon, Ginger & Garlic",4 x 16.3 x 10.8,Fruits & Vegetables || Herbs & Seasonings
P0251,Bitter Gourd - Organically Grown (Fresho),Whole Spices,8 x 18 x 13,"Foodgrains, Oil & Masala || Masalas & Spices"
P0252,Fresh Turmeric - Organically Grown (Fresho),Organic Vegetables,2 x 14 x 7,Fruits & Vegetables || Organic Fruits & Vegetables
P0253,Salt/Uppu - Free Flow (Akar),Organic Vegetables,4 x 20 x 6,Fruits & Vegetables || Organic Fruits & Vegetables
P0254,Lettuce - Green (Fresho),Salts,3 x 5 x 17,"Foodgrains, Oil & Masala || Salt, Sugar & Jaggery"
P0255,Snake Gourd - Organically Grown (Fresho),Exotic Vegetables,6 x 9 x 7.5,Fruits & Vegetables || Exotic Fruits & Veggies
P0256,Toothbrush - Junior (Patanjali),Organic Vegetables,5.8 x 21.1 x 5.8,Fruits & Vegetables || Organic Fruits & Vegetables
P0257,Aloe Vera Kanti - Body Cleanser Soap (Patanjali),Baby Oral Care,6 x 7 x 13,Baby Care || Baby Bath & Hygiene
P0258,Marie Light Biscuit - Vita Orange (Sunfeast),Shower Gel & Body Wash,6 x 19 x 13,Beauty & Hygiene || Bath & Hand Wash
P0259,Kitkat 2 Fingers (Nestle ),"Marie, Health, Digestive",,Snacks & Branded Foods || Biscuits & Cookies
P0260,Platina - Nutricrunch Digestive Marie (Parle),Chocolates,4.5 x 16 x 8,Snacks & Branded Foods || Biscuits & Cookies
P0261,NutriChoice Oats Cookies - Orange Almond (Britannia),"Marie, Health, Digestive",2 x 21.5 x 13.5,Snacks & Branded Foods || Biscuits & Cookies
P0263,NutriChoice Oats Cookies - Milk Almond (Britannia),"Marie, Health, Digestive",25 x 18 x 2,Snacks & Branded Foods || Biscuits & Cookies
P0264,Bun - Burger (English Oven),"Marie, Health, Digestive",4 x 4 x 15,Snacks & Branded Foods || Biscuits & Cookies
P0265,Masala Oats - Classic Masala (Saffola),"Buns, Pavs & Pizza Base",6.5 x 11.5 x 6.5,"Bakery, Cakes & Dairy || Breads & Buns"
P0266,Masala Oats - Masala & Coriander (Saffola),Oats & Porridge,10 x 23 x 25.5,Snacks & Branded Foods || Breakfast Cereals
P0267,Masala Oats - Peppy Tomato (Saffola),Oats & Porridge,15 x 5 x 25,Snacks & Branded Foods || Breakfast Cereals
P0268,Masala Oats - Curry & Pepper (Saffola),Oats & Porridge,4.5 x 13 x 9,Snacks & Branded Foods || Breakfast Cereals
P0269,Masala Oats - Pongal Surprise (Saffola),Oats & Porridge,6 x 23 x 18,Snacks & Branded Foods || Breakfast Cereals
P0270,Moonfils - Vanilla (Bauli),Oats & Porridge,5 x 28 x 16,Snacks & Branded Foods || Breakfast Cereals
P0271,Pineapple Cake (Britannia),Tea Cakes & Slice Cakes,24 x 1.5 x 38,"Bakery, Cakes & Dairy || Cakes & Pastries"
P0272,Moonfils Veg - Choco (Bauli),Tea Cakes & Slice Cakes,7.4 x 19.5 x 12.9,"Bakery, Cakes & Dairy || Cakes & Pastries"
P0274,Moonfils - Strawberry (Bauli),Tea Cakes & Slice Cakes,3.5 x 12 x 50,"Bakery, Cakes & Dairy || Cakes & Pastries"
P0275,Gobbles Orange Bites Cake (Britannia),Tea Cakes & Slice Cakes,3 x 3 x 12,"Bakery, Cakes & Dairy || Cakes & Pastries"
P0276,Milk Cake (Britannia),Tea Cakes & Slice Cakes,5 x 20.2 x 8,"Bakery, Cakes & Dairy || Cakes & Pastries"
P0277,Moonfils Veg - Strawberry (Bauli),Tea Cakes & Slice Cakes,6.7 x 24 x 7.5,"Bakery, Cakes & Dairy || Cakes & Pastries"
P0278,Kitkat 2 Fingers (Nestle ),Tea Cakes & Slice Cakes,1 x 1 x 1,"Bakery, Cakes & Dairy || Cakes & Pastries"
P0279,Chewy Candy Stick - Mint Flavour (Mentos),Chocolates,5.2 x 15 x 7.3,Snacks & Branded Foods || Chocolates & Candies
P0280,Marigold Flower - Yellow (Fresho),"Toffee, Candy & Lollypop",6 x 19 x 13,Snacks & Branded Foods || Chocolates & Candies
P0281,Bottle Gourd (Fresho),Marigold,6 x 19 x 6,"Fruits & Vegetables || Flower Bouquets, Bunches"
P0282,Ash Gourd - Cut (Fresho),"Gourd, Pumpkin, Drumstick",10 x 11 x 11,Fruits & Vegetables || Fresh Vegetables
P0283,Baby Corn - Unpeeled (Fresho),Cut & Peeled Veggies,1.5 x 12 x 17,Fruits & Vegetables || Fresh Vegetables
P0284,Drink - Fresh 'N' Juicy Mango (Frooti),Exotic Vegetables,5 x 28 x 11,Fruits & Vegetables || Fresh Vegetables
P0285,Moonfils Choco Cream (Bauli),Juices,3.5 x 21 x 9,Beverages || Fruit Juices & Drinks
P0286,Comb - 5 Flat Pocket Derby No 58 (Ego of Paris),"Croissants, Bagels",4.5 x 13 x 9,"Bakery, Cakes & Dairy || Gourmet Breads"
P0287,Shanti - Badam Amla Hair Oil (Nihar),Tools & Accessories,7.3 x 10.6 x 7.3,Beauty & Hygiene || Hair Care
P0289,Comb - Derby Deluxe No 05 (Ego of Paris),Hair Oil & Serum,1 x 1 x 1,Beauty & Hygiene || Hair Care
P0290,Ginger (Fresho),Tools & Accessories,5 x 19 x 13,Beauty & Hygiene || Hair Care
P0291,Ready Masala - Hyderabadi Biryani (Kohinoor),"Lemon, Ginger & Garlic",5 x 28 x 16,Fruits & Vegetables || Herbs & Seasonings
P0292,Ready Masala - Punjabi Paneer (Kohinoor),Blended Masalas,8.8 x 15.1 x 8.8,"Foodgrains, Oil & Masala || Masalas & Spices"
P0293,Ready Masala - Mumbai Pav Bhaji (Kohinoor),Blended Masalas,3 x 23.5 x 17,"Foodgrains, Oil & Masala || Masalas & Spices"
P0294,Ready Masala - Dilli Choley (Kohinoor),Blended Masalas,9 x 31 x 9,"Foodgrains, Oil & Masala || Masalas & Spices"
P0295,Ready Masala - Jammu Rajma (Kohinoor),Blended Masalas,5 x 28 x 16,"Foodgrains, Oil & Masala || Masalas & Spices"
P0296,Ready Masala - Punjabi Butter Chicken (Kohinoor),Blended Masalas,3.5 x 3 x 14,"Foodgrains, Oil & Masala || Masalas & Spices"
P0297,Instant Creamy Cup-a-Soup - Spinach (Keya),Blended Masalas,11.5 x 18 x 11.5,"Foodgrains, Oil & Masala || Masalas & Spices"
P0298,Scrub Pad (Scotch brite),Herbs & Seasoning,,"Foodgrains, Oil & Masala || Masalas & Spices"
P0299,Anti Bacto Scrub (Exo),"Utensil Scrub-Pad, Glove",11 x 5 x 6,"Cleaning & Household || Mops, Brushes & Scrubs"
P0300,Scrub Pad - Medium (Scrubit),"Utensil Scrub-Pad, Glove",11 x 27 x 19,"Cleaning & Household || Mops, Brushes & Scrubs"
P0301,Noodles - Chicken (Top Ramen ),"Utensil Scrub-Pad, Glove",5 x 12 x 8,"Cleaning & Household || Mops, Brushes & Scrubs"
P0302,Mogra Agarbatti (Arham),Instant Noodles,15 x 28 x 60,"Snacks & Branded Foods || Noodle, Pasta, Vermicelli"
P0303,Herbal Incense Sticks - Goudhooli (Gou Ganga),"Agarbatti, Incense Sticks",6 x 17 x 10,Cleaning & Household || Pooja Needs
P0304,Cup-A-Soup - Chicken Delite (Knorr),"Agarbatti, Incense Sticks",3.9 x 15.4 x 8.1,Cleaning & Household || Pooja Needs
P0305,Instant Creamy - Mushroom Soup (Keya),Soups,14 x 35 x 14,Snacks & Branded Foods || Ready To Cook & Eat
P0309,Instant Cup-A-Soup - Creamy Chicken (Keya),Soups,30 x 31 x 42,Snacks & Branded Foods || Ready To Cook & Eat
P0310,Instant Creamy Cup-a-Soup - Tomato (Keya),Soups,5 x 15 x 10,Snacks & Branded Foods || Ready To Cook & Eat
P0311,Instant Cup-A-Soup - Hot & Sour Vegetable (Keya),Soups,1 x 20 x 30,Snacks & Branded Foods || Ready To Cook & Eat
P0312,Instant Soup - Creamy Mix Veg (Keya),Soups,6 x 10 x 8,Snacks & Branded Foods || Ready To Cook & Eat
P0313,Instant Cup-A-Soup - Sweet Corn Vegetable (Keya),Soups,11.8 x 24.6 x 9.3,Snacks & Branded Foods || Ready To Cook & Eat
P0314,Namak (Patanjali),Soups,3 x 18 x 10,Snacks & Branded Foods || Ready To Cook & Eat
P0316,Masala Oats - Classic Masala (Saffola),Salts,1 x 1 x 1,"Foodgrains, Oil & Masala || Salt, Sugar & Jaggery"
P0317,Masala Oats - Masala & Coriander (Saffola),Oats & Porridge,3.1 x 19 x 8.8,Snacks & Branded Foods || Snacks & Namkeen
P0318,Masala Oats - Peppy Tomato (Saffola),Oats & Porridge,3 x 14 x 10,Snacks & Branded Foods || Snacks & Namkeen
P0319,Masala Oats - Curry & Pepper (Saffola),Oats & Porridge,7.5 x 21.1 x 4.3,Snacks & Branded Foods || Snacks & Namkeen
P0321,Corn Rings - Masala Mania (Crax),Oats & Porridge,4.3 x 23.3 x 8.5,Snacks & Branded Foods || Snacks & Namkeen
P0322,Fritts - Cream & Onion (Crax),Chips & Corn Snacks,59 x 88 x 59,Snacks & Branded Foods || Snacks & Namkeen
P0323,Corn Rings - Tangy Tomato (Crax),Chips & Corn Snacks,6 x 32.5 x 23,Snacks & Branded Foods || Snacks & Namkeen
P0324,Masala Oats - Pongal Surprise (Saffola),Chips & Corn Snacks,7.5 x 12.5 x 7.5,Snacks & Branded Foods || Snacks & Namkeen
P0325,Flax Seeds (The Nibble Box),Oats & Porridge,6 x 18.5 x 11,Snacks & Branded Foods || Snacks & Namkeen
P0326,Fresh Tomato Ketchup (Kissan),Dry Fruits & Berries,3 x 18 x 10,"Gourmet & World Food || Snacks, Dry Fruits, Nuts"
P0327,"Mechanical Pencil - Da Vinci Ii, 0.7mm (Classmate)",Tomato Ketchup & Sauces,2 x 4 x 13,"Snacks & Branded Foods || Spreads, Sauces, Ketchup"
P0328,Ash Gourd - Cut (Fresho),"Pen, Pencils",2 x 7 x 11,Cleaning & Household || Stationery
P0329,"Butter Milk - Uht, Spicy (Godrej Jersey)",Cut & Peeled Veggies,5 x 49.5 x 2.5,Fruits & Vegetables || Cuts & Sprouts
P0330,Soya Chunks - Mini (Nutrela),Buttermilk & Lassi,5 x 10 x 5,"Bakery, Cakes & Dairy || Dairy"
P0331,Soya Chunks (Nutrela),Cereals & Millets,40.6 x 37 x 36.5,"Foodgrains, Oil & Masala || Dals & Pulses"
P0332,Filter Coffee (Lavazza),Cereals & Millets,6.9 x 13.2 x 6.9,"Foodgrains, Oil & Masala || Dals & Pulses"
P0333,Baby Corn - Unpeeled (Fresho),Coffee & Pre-Mix,7.5 x 21 x 10.5,Gourmet & World Food || Drinks & Beverages
P0334,7 O Clock - Ready Ii Disposable Razor (Gillette),Exotic Vegetables,6 x 20 x 6,Fruits & Vegetables || Exotic Fruits & Veggies
P0335,Sweet Potato (Fresho),Shaving Care,4.1 x 11 x 4.1,Beauty & Hygiene || Men's Grooming
P0336,Gold Caramel Candy Stick (ALPENLIEBE),"Potato, Onion & Tomato",11 x 43 x 24,Fruits & Vegetables || Fresh Vegetables
P0337,Classic Milk Chocolate Candy (Nestle ),"Toffee, Candy & Lollypop",17 x 40 x 30,Snacks & Branded Foods || Chocolates & Candies
P0339,"Chocolate Bar - Bar One, Charge (Nestle )",Chocolates,12 x 16 x 11.8,Snacks & Branded Foods || Chocolates & Candies
P0340,Lettuce - Romaine (Fresho),Chocolates,5 x 20 x 13,Snacks & Branded Foods || Chocolates & Candies
P0341,Lettuce - Red (Fresho),Exotic Vegetables,8.5 x 29.1 x 5.8,Fruits & Vegetables || Fresh Vegetables
P0342,Leeks (Fresho),Exotic Vegetables,4.5 x 14 x 15,Fruits & Vegetables || Fresh Vegetables
P0343,Raw Mango (Fresho),Exotic Vegetables,3 x 6 x 4,Fruits & Vegetables || Fresh Vegetables
P0344,Tasty Twist Sizzling Tandoori Multi-Use Seasoning (Kohinoor),Seasonal Fruits,,Fruits & Vegetables || Fresh Fruits
P0345,Tasty Twist Dilli Chatpata Multi-Use Seasoning (Kohinoor),Herbs & Seasoning,7 x 23.6 x 8,"Foodgrains, Oil & Masala || Masalas & Spices"
P0346,Tasty Twist Zingy Schezwan Multi-Use Seasoning (Kohinoor),Herbs & Seasoning,9 x 12 x 9,"Foodgrains, Oil & Masala || Masalas & Spices"
P0347,Tasty Twist Mumbai Chowpatty Multi-Use Seasoning (Kohinoor),Herbs & Seasoning,4 x 9 x 9,"Foodgrains, Oil & Masala || Masalas & Spices"
P0348,Tasty Twist Special Navratan Multi-Use Seasoning (Kohinoor),Herbs & Seasoning,7.4 x 15.3 x 12.9,"Foodgrains, Oil & Masala || Masalas & Spices"
P0350,Kumkum (GOPURAM),Herbs & Seasoning,2 x 15 x 10,"Foodgrains, Oil & Masala || Masalas & Spices"
P0351,Winter Glow Face Cream (Glow & Lovely),Other Pooja Needs,1.8 x 11.2 x 9.5,Cleaning & Household || Pooja Needs
P0352,Water Plus (Tata ),Face Care,5 x 20 x 15,Beauty & Hygiene || Skin Care
P0353,Organic Spouts Horse Gram (Fresho),Packaged Water,4 x 22 x 7.5,Beverages || Water
P0354,Lettuce - Romaine (Fresho),Fresh Salads & Sprouts,5 x 28 x 16,Fruits & Vegetables || Cuts & Sprouts
P0355,Lettuce - Red (Fresho),Exotic Vegetables,30 x 5 x 28,Fruits & Vegetables || Exotic Fruits & Veggies
P0356,Leeks (Fresho),Exotic Vegetables,2 x 6 x 10,Fruits & Vegetables || Exotic Fruits & Veggies
P0357,Turmeric Powder/Arisina Pudi (Eastern),Exotic Vegetables,1 x 1 x 1,Fruits & Vegetables || Exotic Fruits & Veggies
P0358,Celery (Fresho),Powdered Spices,10 x 10 x 10,"Foodgrains, Oil & Masala || Masalas & Spices"
P0360,Celery (Fresho),Indian & Exotic Herbs,5 x 28 x 16,Fruits & Vegetables || Herbs & Seasonings
P0361,Hommade - Imli Sauce (Saunth) (Dabur),Indian & Exotic Herbs,6 x 48 x 6,Fruits & Vegetables || Exotic Fruits & Veggies
P0362,Chow Chow (Fresho),Tomato Ketchup & Sauces,6 x 7 x 12.2,"Snacks & Branded Foods || Spreads, Sauces, Ketchup"
P0363,Tapioca (Fresho),"Gourd, Pumpkin, Drumstick",5 x 12 x 8,Fruits & Vegetables || Fresh Vegetables
P0364,Black Mustard/Sasive/Rai - Big (bb Popular),Root Vegetables,4 x 4 x 12.5,Fruits & Vegetables || Fresh Vegetables
P0365,Toothbrush - Triple Clean Soft (Pepsodent),Whole Spices,8 x 14 x 40.5,"Foodgrains, Oil & Masala || Masalas & Spices"
P0366,Triple Clean Toothbrush - Medium (Pepsodent),Toothbrush,6.8 x 8.5 x 7,Beauty & Hygiene || Oral Care
P0367,"Dog Treats - Real Chicken Biscuits, Chicken Flavour (Purepet)",Toothbrush,3 x 26.5 x 17,Beauty & Hygiene || Oral Care
P0368,"Dog Food - Chicken & Egg, Adult (Drools)",Pet Meals & Treats,2.5 x 11.5 x 11.5,"Kitchen, Garden & Pets || Pet Food & Accessories"
P0369,Salt/Uppu - Crystal (Akar),Pet Meals & Treats,7 x 8 x 13,"Kitchen, Garden & Pets || Pet Food & Accessories"
P0370,Skin Lightening Natural Fruit Bleach (Olivia),Salts,2 x 21 x 11,"Foodgrains, Oil & Masala || Salt, Sugar & Jaggery"
P0371,Skin Lightening Shiner Bleach With Diamond Dust (Olivia),Face Care,6.2 x 16.8 x 6.2,Beauty & Hygiene || Skin Care
P0372,Skin Lightening Oxygen Bleach - Rich Fairness (Olivia),Face Care,2 x 7 x 2.5,Beauty & Hygiene || Skin Care
P0373,Mini Puffs - Cheese N Herbs (GoodDiet),Face Care,5 x 18 x 14,Beauty & Hygiene || Skin Care
