date,cy_date,year,month_name,date_yy_mmm
28-04-2018,01-04-2018,2018,April,"18-Apr"
29-04-2018,01-04-2018,2018,April,"18-Apr"
30-04-2018,01-04-2018,2018,April,"18-Apr"
01-05-2018,01-05-2018,2018,May,"18-May"
02-05-2018,01-05-2018,2018,May,"18-May"
03-05-2018,01-05-2018,2018,May,"18-May"
04-05-2018,01-05-2018,2018,May,"18-May"
05-05-2018,01-05-2018,2018,May,"18-May"
06-05-2018,01-05-2018,2018,May,"18-May"
07-05-2018,01-05-2018,2018,May,"18-May"
08-05-2018,01-05-2018,2018,May,"18-May"
09-05-2018,01-05-2018,2018,May,"18-May"
10-05-2018,01-05-2018,2018,May,"18-May"
11-05-2018,01-05-2018,2018,May,"18-May"
12-05-2018,01-05-2018,2018,May,"18-May"
13-05-2018,01-05-2018,2018,May,"18-May"
14-05-2018,01-05-2018,2018,May,"18-May"
15-05-2018,01-05-2018,2018,May,"18-May"
16-05-2018,01-05-2018,2018,May,"18-May"
17-05-2018,01-05-2018,2018,May,"18-May"
18-05-2018,01-05-2018,2018,May,"18-May"
19-05-2018,01-05-2018,2018,May,"18-May"
20-05-2018,01-05-2018,2018,May,"18-May"
21-05-2018,01-05-2018,2018,May,"18-May"
22-05-2018,01-05-2018,2018,May,"18-May"
23-05-2018,01-05-2018,2018,May,"18-May"
24-05-2018,01-05-2018,2018,May,"18-May"
25-05-2018,01-05-2018,2018,May,"18-May"
26-05-2018,01-05-2018,2018,May,"18-May"
27-05-2018,01-05-2018,2018,May,"18-May"
28-05-2018,01-05-2018,2018,May,"18-May"
29-05-2018,01-05-2018,2018,May,"18-May"
30-05-2018,01-05-2018,2018,May,"18-May"
31-05-2018,01-05-2018,2018,May,"18-May"
01-06-2018,01-06-2018,2018,June,"18-Jun"
02-06-2018,01-06-2018,2018,June,"18-Jun"
03-06-2018,01-06-2018,2018,June,"18-Jun"
04-06-2018,01-06-2018,2018,June,"18-Jun"
05-06-2018,01-06-2018,2018,June,"18-Jun"
06-06-2018,01-06-2018,2018,June,"18-Jun"
07-06-2018,01-06-2018,2018,June,"18-Jun"
08-06-2018,01-06-2018,2018,June,"18-Jun"
09-06-2018,01-06-2018,2018,June,"18-Jun"
10-06-2018,01-06-2018,2018,June,"18-Jun"
11-06-2018,01-06-2018,2018,June,"18-Jun"
12-06-2018,01-06-2018,2018,June,"18-Jun"
13-06-2018,01-06-2018,2018,June,"18-Jun"
14-06-2018,01-06-2018,2018,June,"18-Jun"
15-06-2018,01-06-2018,2018,June,"18-Jun"
16-06-2018,01-06-2018,2018,June,"18-Jun"
17-06-2018,01-06-2018,2018,June,"18-Jun"
18-06-2018,01-06-2018,2018,June,"18-Jun"
19-06-2018,01-06-2018,2018,June,"18-Jun"
20-06-2018,01-06-2018,2018,June,"18-Jun"
21-06-2018,01-06-2018,2018,June,"18-Jun"
22-06-2018,01-06-2018,2018,June,"18-Jun"
23-06-2018,01-06-2018,2018,June,"18-Jun"
24-06-2018,01-06-2018,2018,June,"18-Jun"
25-06-2018,01-06-2018,2018,June,"18-Jun"
26-06-2018,01-06-2018,2018,June,"18-Jun"
27-06-2018,01-06-2018,2018,June,"18-Jun"
28-06-2018,01-06-2018,2018,June,"18-Jun"
29-06-2018,01-06-2018,2018,June,"18-Jun"
30-06-2018,01-06-2018,2018,June,"18-Jun"
01-07-2018,01-07-2018,2018,July,"18-Jul"
02-07-2018,01-07-2018,2018,July,"18-Jul"
03-07-2018,01-07-2018,2018,July,"18-Jul"
04-07-2018,01-07-2018,2018,July,"18-Jul"
05-07-2018,01-07-2018,2018,July,"18-Jul"
06-07-2018,01-07-2018,2018,July,"18-Jul"
07-07-2018,01-07-2018,2018,July,"18-Jul"
08-07-2018,01-07-2018,2018,July,"18-Jul"
09-07-2018,01-07-2018,2018,July,"18-Jul"
10-07-2018,01-07-2018,2018,July,"18-Jul"
11-07-2018,01-07-2018,2018,July,"18-Jul"
12-07-2018,01-07-2018,2018,July,"18-Jul"
13-07-2018,01-07-2018,2018,July,"18-Jul"
14-07-2018,01-07-2018,2018,July,"18-Jul"
15-07-2018,01-07-2018,2018,July,"18-Jul"
16-07-2018,01-07-2018,2018,July,"18-Jul"
17-07-2018,01-07-2018,2018,July,"18-Jul"
18-07-2018,01-07-2018,2018,July,"18-Jul"
19-07-2018,01-07-2018,2018,July,"18-Jul"
20-07-2018,01-07-2018,2018,July,"18-Jul"
21-07-2018,01-07-2018,2018,July,"18-Jul"
22-07-2018,01-07-2018,2018,July,"18-Jul"
23-07-2018,01-07-2018,2018,July,"18-Jul"
24-07-2018,01-07-2018,2018,July,"18-Jul"
25-07-2018,01-07-2018,2018,July,"18-Jul"
26-07-2018,01-07-2018,2018,July,"18-Jul"
27-07-2018,01-07-2018,2018,July,"18-Jul"
28-07-2018,01-07-2018,2018,July,"18-Jul"
29-07-2018,01-07-2018,2018,July,"18-Jul"
30-07-2018,01-07-2018,2018,July,"18-Jul"
31-07-2018,01-07-2018,2018,July,"18-Jul"
01-08-2018,01-08-2018,2018,August,"18-Aug"
02-08-2018,01-08-2018,2018,August,"18-Aug"
03-08-2018,01-08-2018,2018,August,"18-Aug"
04-08-2018,01-08-2018,2018,August,"18-Aug"
05-08-2018,01-08-2018,2018,August,"18-Aug"
06-08-2018,01-08-2018,2018,August,"18-Aug"
07-08-2018,01-08-2018,2018,August,"18-Aug"
08-08-2018,01-08-2018,2018,August,"18-Aug"
09-08-2018,01-08-2018,2018,August,"18-Aug"
10-08-2018,01-08-2018,2018,August,"18-Aug"
11-08-2018,01-08-2018,2018,August,"18-Aug"
12-08-2018,01-08-2018,2018,August,"18-Aug"
13-08-2018,01-08-2018,2018,August,"18-Aug"
14-08-2018,01-08-2018,2018,August,"18-Aug"
15-08-2018,01-08-2018,2018,August,"18-Aug"
16-08-2018,01-08-2018,2018,August,"18-Aug"
17-08-2018,01-08-2018,2018,August,"18-Aug"
18-08-2018,01-08-2018,2018,August,"18-Aug"
19-08-2018,01-08-2018,2018,August,"18-Aug"
20-08-2018,01-08-2018,2018,August,"18-Aug"
21-08-2018,01-08-2018,2018,August,"18-Aug"
22-08-2018,01-08-2018,2018,August,"18-Aug"
23-08-2018,01-08-2018,2018,August,"18-Aug"
24-08-2018,01-08-2018,2018,August,"18-Aug"
25-08-2018,01-08-2018,2018,August,"18-Aug"
26-08-2018,01-08-2018,2018,August,"18-Aug"
27-08-2018,01-08-2018,2018,August,"18-Aug"
28-08-2018,01-08-2018,2018,August,"18-Aug"
29-08-2018,01-08-2018,2018,August,"18-Aug"
30-08-2018,01-08-2018,2018,August,"18-Aug"
31-08-2018,01-08-2018,2018,August,"18-Aug"
01-09-2018,01-09-2018,2018,September,"18-Sep"
02-09-2018,01-09-2018,2018,September,"18-Sep"
03-09-2018,01-09-2018,2018,September,"18-Sep"
04-09-2018,01-09-2018,2018,September,"18-Sep"
05-09-2018,01-09-2018,2018,September,"18-Sep"
06-09-2018,01-09-2018,2018,September,"18-Sep"
07-09-2018,01-09-2018,2018,September,"18-Sep"
08-09-2018,01-09-2018,2018,September,"18-Sep"
09-09-2018,01-09-2018,2018,September,"18-Sep"
10-09-2018,01-09-2018,2018,September,"18-Sep"
11-09-2018,01-09-2018,2018,September,"18-Sep"
12-09-2018,01-09-2018,2018,September,"18-Sep"
13-09-2018,01-09-2018,2018,September,"18-Sep"
14-09-2018,01-09-2018,2018,September,"18-Sep"
15-09-2018,01-09-2018,2018,September,"18-Sep"
16-09-2018,01-09-2018,2018,September,"18-Sep"
17-09-2018,01-09-2018,2018,September,"18-Sep"
18-09-2018,01-09-2018,2018,September,"18-Sep"
19-09-2018,01-09-2018,2018,September,"18-Sep"
20-09-2018,01-09-2018,2018,September,"18-Sep"
21-09-2018,01-09-2018,2018,September,"18-Sep"
22-09-2018,01-09-2018,2018,September,"18-Sep"
23-09-2018,01-09-2018,2018,September,"18-Sep"
24-09-2018,01-09-2018,2018,September,"18-Sep"
25-09-2018,01-09-2018,2018,September,"18-Sep"
26-09-2018,01-09-2018,2018,September,"18-Sep"
27-09-2018,01-09-2018,2018,September,"18-Sep"
28-09-2018,01-09-2018,2018,September,"18-Sep"
29-09-2018,01-09-2018,2018,September,"18-Sep"
30-09-2018,01-09-2018,2018,September,"18-Sep"
01-10-2018,01-10-2018,2018,October,"18-Oct"
02-10-2018,01-10-2018,2018,October,"18-Oct"
03-10-2018,01-10-2018,2018,October,"18-Oct"
04-10-2018,01-10-2018,2018,October,"18-Oct"
05-10-2018,01-10-2018,2018,October,"18-Oct"
06-10-2018,01-10-2018,2018,October,"18-Oct"
07-10-2018,01-10-2018,2018,October,"18-Oct"
08-10-2018,01-10-2018,2018,October,"18-Oct"
09-10-2018,01-10-2018,2018,October,"18-Oct"
10-10-2018,01-10-2018,2018,October,"18-Oct"
11-10-2018,01-10-2018,2018,October,"18-Oct"
12-10-2018,01-10-2018,2018,October,"18-Oct"
13-10-2018,01-10-2018,2018,October,"18-Oct"
14-10-2018,01-10-2018,2018,October,"18-Oct"
15-10-2018,01-10-2018,2018,October,"18-Oct"
16-10-2018,01-10-2018,2018,October,"18-Oct"
17-10-2018,01-10-2018,2018,October,"18-Oct"
18-10-2018,01-10-2018,2018,October,"18-Oct"
19-10-2018,01-10-2018,2018,October,"18-Oct"
20-10-2018,01-10-2018,2018,October,"18-Oct"
21-10-2018,01-10-2018,2018,October,"18-Oct"
22-10-2018,01-10-2018,2018,October,"18-Oct"
23-10-2018,01-10-2018,2018,October,"18-Oct"
24-10-2018,01-10-2018,2018,October,"18-Oct"
25-10-2018,01-10-2018,2018,October,"18-Oct"
26-10-2018,01-10-2018,2018,October,"18-Oct"
27-10-2018,01-10-2018,2018,October,"18-Oct"
28-10-2018,01-10-2018,2018,October,"18-Oct"
29-10-2018,01-10-2018,2018,October,"18-Oct"
30-10-2018,01-10-2018,2018,October,"18-Oct"
31-10-2018,01-10-2018,2018,October,"18-Oct"
01-11-2018,01-11-2018,2018,November,"18-Nov"
02-11-2018,01-11-2018,2018,November,"18-Nov"
03-11-2018,01-11-2018,2018,November,"18-Nov"
04-11-2018,01-11-2018,2018,November,"18-Nov"
05-11-2018,01-11-2018,2018,November,"18-Nov"
06-11-2018,01-11-2018,2018,November,"18-Nov"
07-11-2018,01-11-2018,2018,November,"18-Nov"
08-11-2018,01-11-2018,2018,November,"18-Nov"
09-11-2018,01-11-2018,2018,November,"18-Nov"
10-11-2018,01-11-2018,2018,November,"18-Nov"
11-11-2018,01-11-2018,2018,November,"18-Nov"
12-11-2018,01-11-2018,2018,November,"18-Nov"
13-11-2018,01-11-2018,2018,November,"18-Nov"
14-11-2018,01-11-2018,2018,November,"18-Nov"
15-11-2018,01-11-2018,2018,November,"18-Nov"
16-11-2018,01-11-2018,2018,November,"18-Nov"
17-11-2018,01-11-2018,2018,November,"18-Nov"
18-11-2018,01-11-2018,2018,November,"18-Nov"
19-11-2018,01-11-2018,2018,November,"18-Nov"
20-11-2018,01-11-2018,2018,November,"18-Nov"
21-11-2018,01-11-2018,2018,November,"18-Nov"
22-11-2018,01-11-2018,2018,November,"18-Nov"
23-11-2018,01-11-2018,2018,November,"18-Nov"
24-11-2018,01-11-2018,2018,November,"18-Nov"
25-11-2018,01-11-2018,2018,November,"18-Nov"
26-11-2018,01-11-2018,2018,November,"18-Nov"
27-11-2018,01-11-2018,2018,November,"18-Nov"
28-11-2018,01-11-2018,2018,November,"18-Nov"
29-11-2018,01-11-2018,2018,November,"18-Nov"
30-11-2018,01-11-2018,2018,November,"18-Nov"
01-12-2018,01-12-2018,2018,December,"18-Dec"
02-12-2018,01-12-2018,2018,December,"18-Dec"
03-12-2018,01-12-2018,2018,December,"18-Dec"
04-12-2018,01-12-2018,2018,December,"18-Dec"
05-12-2018,01-12-2018,2018,December,"18-Dec"
06-12-2018,01-12-2018,2018,December,"18-Dec"
07-12-2018,01-12-2018,2018,December,"18-Dec"
08-12-2018,01-12-2018,2018,December,"18-Dec"
09-12-2018,01-12-2018,2018,December,"18-Dec"
10-12-2018,01-12-2018,2018,December,"18-Dec"
11-12-2018,01-12-2018,2018,December,"18-Dec"
12-12-2018,01-12-2018,2018,December,"18-Dec"
13-12-2018,01-12-2018,2018,December,"18-Dec"
14-12-2018,01-12-2018,2018,December,"18-Dec"
15-12-2018,01-12-2018,2018,December,"18-Dec"
16-12-2018,01-12-2018,2018,December,"18-Dec"
17-12-2018,01-12-2018,2018,December,"18-Dec"
18-12-2018,01-12-2018,2018,December,"18-Dec"
19-12-2018,01-12-2018,2018,December,"18-Dec"
20-12-2018,01-12-2018,2018,December,"18-Dec"
21-12-2018,01-12-2018,2018,December,"18-Dec"
22-12-2018,01-12-2018,2018,December,"18-Dec"
23-12-2018,01-12-2018,2018,December,"18-Dec"
24-12-2018,01-12-2018,2018,December,"18-Dec"
25-12-2018,01-12-2018,2018,December,"18-Dec"
26-12-2018,01-12-2018,2018,December,"18-Dec"
27-12-2018,01-12-2018,2018,December,"18-Dec"
28-12-2018,01-12-2018,2018,December,"18-Dec"
29-12-2018,01-12-2018,2018,December,"18-Dec"
30-12-2018,01-12-2018,2018,December,"18-Dec"
31-12-2018,01-12-2018,2018,December,"18-Dec"
01-01-2019,01-01-2019,2019,January,"19-Jan"
02-01-2019,01-01-2019,2019,January,"19-Jan"
03-01-2019,01-01-2019,2019,January,"19-Jan"
04-01-2019,01-01-2019,2019,January,"19-Jan"
05-01-2019,01-01-2019,2019,January,"19-Jan"
06-01-2019,01-01-2019,2019,January,"19-Jan"
07-01-2019,01-01-2019,2019,January,"19-Jan"
08-01-2019,01-01-2019,2019,January,"19-Jan"
09-01-2019,01-01-2019,2019,January,"19-Jan"
10-01-2019,01-01-2019,2019,January,"19-Jan"
11-01-2019,01-01-2019,2019,January,"19-Jan"
12-01-2019,01-01-2019,2019,January,"19-Jan"
13-01-2019,01-01-2019,2019,January,"19-Jan"
14-01-2019,01-01-2019,2019,January,"19-Jan"
15-01-2019,01-01-2019,2019,January,"19-Jan"
16-01-2019,01-01-2019,2019,January,"19-Jan"
17-01-2019,01-01-2019,2019,January,"19-Jan"
18-01-2019,01-01-2019,2019,January,"19-Jan"
19-01-2019,01-01-2019,2019,January,"19-Jan"
20-01-2019,01-01-2019,2019,January,"19-Jan"
21-01-2019,01-01-2019,2019,January,"19-Jan"
22-01-2019,01-01-2019,2019,January,"19-Jan"
23-01-2019,01-01-2019,2019,January,"19-Jan"
24-01-2019,01-01-2019,2019,January,"19-Jan"
25-01-2019,01-01-2019,2019,January,"19-Jan"
26-01-2019,01-01-2019,2019,January,"19-Jan"
27-01-2019,01-01-2019,2019,January,"19-Jan"
28-01-2019,01-01-2019,2019,January,"19-Jan"
29-01-2019,01-01-2019,2019,January,"19-Jan"
30-01-2019,01-01-2019,2019,January,"19-Jan"
31-01-2019,01-01-2019,2019,January,"19-Jan"
01-02-2019,01-02-2019,2019,February,"19-Feb"
02-02-2019,01-02-2019,2019,February,"19-Feb"
03-02-2019,01-02-2019,2019,February,"19-Feb"
04-02-2019,01-02-2019,2019,February,"19-Feb"
05-02-2019,01-02-2019,2019,February,"19-Feb"
06-02-2019,01-02-2019,2019,February,"19-Feb"
07-02-2019,01-02-2019,2019,February,"19-Feb"
08-02-2019,01-02-2019,2019,February,"19-Feb"
09-02-2019,01-02-2019,2019,February,"19-Feb"
10-02-2019,01-02-2019,2019,February,"19-Feb"
11-02-2019,01-02-2019,2019,February,"19-Feb"
12-02-2019,01-02-2019,2019,February,"19-Feb"
13-02-2019,01-02-2019,2019,February,"19-Feb"
14-02-2019,01-02-2019,2019,February,"19-Feb"
15-02-2019,01-02-2019,2019,February,"19-Feb"
16-02-2019,01-02-2019,2019,February,"19-Feb"
17-02-2019,01-02-2019,2019,February,"19-Feb"
18-02-2019,01-02-2019,2019,February,"19-Feb"
19-02-2019,01-02-2019,2019,February,"19-Feb"
20-02-2019,01-02-2019,2019,February,"19-Feb"
21-02-2019,01-02-2019,2019,February,"19-Feb"
22-02-2019,01-02-2019,2019,February,"19-Feb"
23-02-2019,01-02-2019,2019,February,"19-Feb"
24-02-2019,01-02-2019,2019,February,"19-Feb"
25-02-2019,01-02-2019,2019,February,"19-Feb"
26-02-2019,01-02-2019,2019,February,"19-Feb"
27-02-2019,01-02-2019,2019,February,"19-Feb"
28-02-2019,01-02-2019,2019,February,"19-Feb"
01-03-2019,01-03-2019,2019,March,"19-Mar"
02-03-2019,01-03-2019,2019,March,"19-Mar"
03-03-2019,01-03-2019,2019,March,"19-Mar"
04-03-2019,01-03-2019,2019,March,"19-Mar"
05-03-2019,01-03-2019,2019,March,"19-Mar"
06-03-2019,01-03-2019,2019,March,"19-Mar"
07-03-2019,01-03-2019,2019,March,"19-Mar"
08-03-2019,01-03-2019,2019,March,"19-Mar"
09-03-2019,01-03-2019,2019,March,"19-Mar"
10-03-2019,01-03-2019,2019,March,"19-Mar"
11-03-2019,01-03-2019,2019,March,"19-Mar"
12-03-2019,01-03-2019,2019,March,"19-Mar"
13-03-2019,01-03-2019,2019,March,"19-Mar"
14-03-2019,01-03-2019,2019,March,"19-Mar"
15-03-2019,01-03-2019,2019,March,"19-Mar"
16-03-2019,01-03-2019,2019,March,"19-Mar"
17-03-2019,01-03-2019,2019,March,"19-Mar"
18-03-2019,01-03-2019,2019,March,"19-Mar"
19-03-2019,01-03-2019,2019,March,"19-Mar"
20-03-2019,01-03-2019,2019,March,"19-Mar"
21-03-2019,01-03-2019,2019,March,"19-Mar"
22-03-2019,01-03-2019,2019,March,"19-Mar"
23-03-2019,01-03-2019,2019,March,"19-Mar"
24-03-2019,01-03-2019,2019,March,"19-Mar"
25-03-2019,01-03-2019,2019,March,"19-Mar"
26-03-2019,01-03-2019,2019,March,"19-Mar"
27-03-2019,01-03-2019,2019,March,"19-Mar"
