card_id,disp_id,type,issued
481,3102,Silver,2020-12-31
304,1913,Gold,2020-12-31
149,858,Gold,2020-12-31
659,4258,Gold,2020-12-31
517,3291,Gold,2020-12-31
368,2361,Gold,2020-12-31
482,3104,Silver,2020-12-31
689,4473,Gold,2020-12-31
557,3567,Gold,2020-12-31
897,7576,Gold,2020-12-31
803,5727,Gold,2020-12-31
401,2532,Gold,2020-12-31
760,5126,Gold,2020-12-31
274,1759,Gold,2020-12-31
28,174,Silver,2020-12-31
904,7672,Gold,2020-12-31
474,3066,Silver,2020-12-31
214,1292,Gold,2020-12-31
55,335,Gold,2020-12-31
340,2155,Gold,2020-12-31
724,4701,Diamond,2020-12-31
67,429,Silver,2020-12-31
236,1440,Silver,2020-12-31
68,434,Gold,2020-12-31
348,2203,Gold,2021-01-31
65,414,Gold,2021-01-31
1239,13442,Silver,2021-01-31
165,996,Silver,2021-01-31
249,1517,Gold,2021-01-31
246,1492,Gold,2021-01-31
720,4674,Silver,2021-01-31
518,3292,Diamond,2021-01-31
459,2958,Diamond,2021-01-31
655,4231,Gold,2021-01-31
624,3985,Silver,2021-01-31
398,2522,Gold,2021-01-31
796,5579,Gold,2021-01-31
100,562,Diamond,2021-01-31
574,3640,Silver,2021-01-31
360,2308,Gold,2021-01-31
391,2493,Gold,2021-01-31
283,1800,Gold,2021-01-31
726,4721,Gold,2021-01-31
132,731,Silver,2021-01-31
463,2982,Gold,2021-01-31
21,132,Gold,2021-01-31
529,3357,Gold,2021-01-31
946,8359,Silver,2021-01-31
419,2626,Gold,2021-01-31
248,1512,Gold,2021-02-28
215,1296,Gold,2021-02-28
225,1359,Gold,2021-02-28
643,4157,Gold,2021-02-28
844,6567,Silver,2021-02-28
672,4349,Gold,2021-02-28
276,1765,Gold,2021-02-28
1230,13312,Gold,2021-02-28
599,3824,Diamond,2021-02-28
72,447,Gold,2021-02-28
1199,12826,Gold,2021-02-28
48,295,Gold,2021-02-28
58,358,Gold,2021-02-28
334,2133,Gold,2021-02-28
2,19,Gold,2021-02-28
228,1382,Silver,2021-02-28
244,1480,Gold,2021-02-28
1189,12683,Gold,2021-02-28
198,1211,Silver,2021-02-28
34,225,Gold,2021-02-28
535,3395,Gold,2021-02-28
269,1718,Diamond,2021-02-28
515,3268,Gold,2021-02-28
290,1833,Gold,2021-02-28
315,2005,Silver,2021-02-28
784,5461,Gold,2021-02-28
63,378,Silver,2021-02-28
417,2619,Gold,2021-02-28
619,3958,Gold,2021-03-31
191,1168,Silver,2021-03-31
965,8636,Gold,2021-03-31
444,2815,Diamond,2021-03-31
370,2374,Gold,2021-03-31
156,906,Silver,2021-03-31
492,3166,Gold,2021-03-31
52,326,Diamond,2021-03-31
71,441,Gold,2021-03-31
775,5253,Diamond,2021-03-31
330,2124,Gold,2021-03-31
510,3256,Gold,2021-03-31
170,1020,Gold,2021-03-31
338,2146,Gold,2021-03-31
755,5002,Gold,2021-03-31
451,2888,Silver,2021-03-31
263,1668,Diamond,2021-03-31
602,3846,Silver,2021-03-31
498,3186,Gold,2021-03-31
933,7959,Silver,2021-03-31
89,497,Gold,2021-03-31
761,5128,Diamond,2021-03-31
176,1049,Gold,2021-03-31
1102,11183,Gold,2021-03-31
109,605,Gold,2021-03-31
421,2644,Gold,2021-03-31
918,7796,Gold,2021-03-31
680,4417,Gold,2021-03-31
824,6196,Gold,2021-03-31
448,2864,Gold,2021-03-31
1194,12781,Silver,2021-03-31
331,2125,Diamond,2021-04-30
734,4765,Gold,2021-04-30
235,1438,Gold,2021-04-30
284,1807,Gold,2021-04-30
412,2585,Gold,2021-04-30
64,402,Gold,2021-04-30
186,1133,Diamond,2021-04-30
458,2951,Diamond,2021-04-30
465,2995,Gold,2021-04-30
457,2948,Silver,2021-04-30
456,2929,Gold,2021-04-30
645,4166,Gold,2021-04-30
906,7683,Diamond,2021-04-30
756,5012,Gold,2021-04-30
218,1322,Gold,2021-04-30
717,4654,Gold,2021-04-30
8,60,Silver,2021-04-30
700,4533,Silver,2021-04-30
757,5013,Silver,2021-04-30
126,707,Gold,2021-04-30
358,2287,Silver,2021-04-30
639,4112,Gold,2021-04-30
212,1280,Gold,2021-04-30
415,2609,Gold,2021-04-30
161,963,Gold,2021-04-30
207,1244,Gold,2021-04-30
1216,13097,Gold,2021-04-30
649,4190,Gold,2021-04-30
475,3075,Diamond,2021-04-30
586,3756,Gold,2021-04-30
446,2841,Gold,2021-05-31
823,6178,Gold,2021-05-31
644,4165,Gold,2021-05-31
111,615,Gold,2021-05-31
469,3026,Gold,2021-05-31
17,127,Gold,2021-05-31
558,3568,Gold,2021-05-31
192,1169,Gold,2021-05-31
631,4061,Silver,2021-05-31
317,2015,Gold,2021-05-31
716,4651,Silver,2021-05-31
7,56,Gold,2021-05-31
863,6906,Gold,2021-05-31
123,679,Gold,2021-05-31
770,5232,Gold,2021-05-31
143,816,Gold,2021-05-31
785,5468,Gold,2021-05-31
646,4167,Gold,2021-05-31
160,954,Gold,2021-05-31
669,4341,Gold,2021-05-31
101,566,Gold,2021-05-31
332,2126,Gold,2021-05-31
362,2320,Diamond,2021-05-31
173,1031,Gold,2021-05-31
16,116,Gold,2021-05-31
365,2332,Gold,2021-05-31
701,4534,Gold,2021-05-31
80,471,Gold,2021-05-31
831,6275,Gold,2021-05-31
354,2265,Diamond,2021-05-31
250,1522,Gold,2021-05-31
142,810,Gold,2021-06-30
991,9149,Silver,2021-06-30
1192,12736,Gold,2021-06-30
738,4808,Silver,2021-06-30
627,3994,Gold,2021-06-30
696,4516,Gold,2021-06-30
260,1616,Gold,2021-06-30
768,5223,Gold,2021-06-30
233,1418,Gold,2021-06-30
450,2880,Gold,2021-06-30
440,2782,Gold,2021-06-30
301,1899,Gold,2021-06-30
485,3124,Gold,2021-06-30
567,3611,Gold,2021-06-30
66,425,Gold,2021-06-30
1002,9261,Gold,2021-06-30
453,2911,Diamond,2021-06-30
277,1777,Diamond,2021-06-30
571,3627,Silver,2021-06-30
687,4471,Gold,2021-06-30
640,4115,Gold,2021-06-30
39,254,Gold,2021-06-30
435,2740,Gold,2021-06-30
411,2572,Gold,2021-06-30
548,3501,Gold,2021-06-30
1167,12335,Gold,2021-06-30
727,4723,Gold,2021-06-30
603,3850,Gold,2021-06-30
496,3183,Silver,2021-06-30
73,451,Silver,2021-06-30
146,822,Gold,2021-06-30
439,2779,Gold,2021-06-30
613,3913,Gold,2021-06-30
323,2065,Silver,2021-06-30
623,3984,Gold,2021-06-30
530,3360,Gold,2021-06-30
396,2508,Gold,2021-06-30
1076,10604,Diamond,2021-06-30
344,2168,Gold,2021-06-30
525,3337,Gold,2021-06-30
42,264,Silver,2021-06-30
740,4823,Silver,2021-06-30
780,5333,Gold,2021-06-30
509,3253,Diamond,2021-06-30
308,1938,Gold,2021-06-30
618,3947,Gold,2021-06-30
209,1251,Gold,2021-06-30
1155,12088,Gold,2021-07-31
95,519,Silver,2021-07-31
833,6299,Gold,2021-07-31
319,2038,Silver,2021-07-31
795,5563,Gold,2021-07-31
508,3249,Gold,2021-07-31
78,468,Gold,2021-07-31
683,4437,Gold,2021-07-31
32,219,Gold,2021-07-31
550,3515,Gold,2021-07-31
1217,13098,Silver,2021-07-31
1003,9274,Gold,2021-07-31
179,1059,Gold,2021-07-31
169,1019,Gold,2021-07-31
221,1339,Gold,2021-07-31
684,4457,Gold,2021-07-31
77,466,Gold,2021-07-31
581,3721,Gold,2021-07-31
47,280,Gold,2021-07-31
386,2478,Gold,2021-07-31
346,2177,Gold,2021-07-31
406,2548,Gold,2021-07-31
951,8392,Gold,2021-07-31
519,3297,Gold,2021-07-31
321,2058,Diamond,2021-07-31
128,716,Gold,2021-07-31
711,4592,Gold,2021-07-31
538,3414,Diamond,2021-07-31
29,192,Gold,2021-07-31
834,6301,Gold,2021-07-31
461,2977,Diamond,2021-07-31
239,1453,Diamond,2021-07-31
395,2502,Gold,2021-07-31
531,3378,Diamond,2021-07-31
1150,12020,Gold,2021-07-31
96,528,Gold,2021-07-31
367,2343,Gold,2021-07-31
1023,9621,Gold,2021-07-31
702,4543,Gold,2021-07-31
405,2542,Gold,2021-07-31
480,3092,Gold,2021-08-31
1098,11063,Gold,2021-08-31
79,469,Gold,2021-08-31
402,2536,Gold,2021-08-31
551,3517,Gold,2021-08-31
425,2662,Silver,2021-08-31
1195,12787,Diamond,2021-08-31
1154,12070,Gold,2021-08-31
307,1930,Diamond,2021-08-31
752,4944,Silver,2021-08-31
134,769,Gold,2021-08-31
285,1811,Diamond,2021-08-31
544,3448,Diamond,2021-08-31
526,3339,Gold,2021-08-31
352,2235,Gold,2021-08-31
328,2121,Silver,2021-08-31
26,161,Gold,2021-08-31
141,808,Gold,2021-08-31
151,861,Gold,2021-08-31
203,1231,Gold,2021-08-31
653,4212,Gold,2021-08-31
880,7186,Gold,2021-08-31
620,3959,Gold,2021-08-31
630,4019,Gold,2021-08-31
1188,12678,Gold,2021-08-31
389,2489,Diamond,2021-08-31
1024,9622,Gold,2021-08-31
193,1179,Diamond,2021-08-31
758,5016,Gold,2021-08-31
634,4081,Silver,2021-08-31
361,2312,Gold,2021-08-31
242,1473,Gold,2021-08-31
923,7855,Gold,2021-08-31
1007,9333,Diamond,2021-08-31
520,3308,Gold,2021-08-31
629,4018,Silver,2021-08-31
335,2137,Gold,2021-08-31
414,2606,Gold,2021-08-31
36,236,Gold,2021-08-31
561,3581,Diamond,2021-08-31
291,1836,Gold,2021-08-31
231,1390,Silver,2021-08-31
782,5376,Gold,2021-08-31
180,1062,Gold,2021-08-31
765,5175,Gold,2021-08-31
357,2277,Silver,2021-08-31
554,3535,Gold,2021-08-31
956,8502,Gold,2021-08-31
676,4380,Gold,2021-08-31
255,1579,Diamond,2021-09-30
1193,12743,Gold,2021-09-30
416,2616,Gold,2021-09-30
585,3753,Diamond,2021-09-30
744,4863,Gold,2021-09-30
23,146,Gold,2021-09-30
394,2501,Gold,2021-09-30
460,2971,Gold,2021-09-30
35,231,Gold,2021-09-30
447,2845,Gold,2021-09-30
264,1669,Gold,2021-09-30
245,1483,Gold,2021-09-30
505,3233,Silver,2021-09-30
336,2138,Silver,2021-09-30
366,2335,Gold,2021-09-30
533,3384,Gold,2021-09-30
288,1826,Gold,2021-09-30
754,4976,Silver,2021-09-30
116,646,Gold,2021-09-30
1035,9732,Gold,2021-09-30
682,4429,Gold,2021-09-30
792,5526,Gold,2021-09-30
385,2476,Gold,2021-09-30
53,333,Gold,2021-09-30
751,4941,Silver,2021-09-30
614,3938,Silver,2021-09-30
957,8506,Silver,2021-09-30
1,9,Diamond,2021-09-30
743,4862,Diamond,2021-09-30
61,374,Gold,2021-09-30
60,370,Gold,2021-09-30
74,453,Gold,2021-09-30
749,4929,Gold,2021-09-30
339,2154,Gold,2021-09-30
769,5224,Gold,2021-09-30
488,3134,Diamond,2021-09-30
31,208,Gold,2021-09-30
542,3439,Gold,2021-09-30
750,4937,Gold,2021-09-30
855,6764,Gold,2021-09-30
299,1886,Gold,2021-09-30
158,928,Diamond,2021-09-30
857,6789,Silver,2021-09-30
230,1388,Diamond,2021-09-30
295,1864,Gold,2021-09-30
584,3751,Gold,2021-09-30
449,2865,Gold,2021-09-30
351,2232,Gold,2021-10-31
138,791,Gold,2021-10-31
524,3333,Gold,2021-10-31
693,4495,Silver,2021-10-31
604,3858,Gold,2021-10-31
746,4901,Gold,2021-10-31
333,2128,Gold,2021-10-31
129,719,Gold,2021-10-31
429,2709,Gold,2021-10-31
424,2659,Gold,2021-10-31
345,2175,Gold,2021-10-31
1165,12291,Gold,2021-10-31
1070,10490,Silver,2021-10-31
217,1316,Gold,2021-10-31
636,4091,Silver,2021-10-31
820,6039,Gold,2021-10-31
46,273,Gold,2021-10-31
742,4833,Gold,2021-10-31
404,2540,Silver,2021-10-31
102,575,Gold,2021-10-31
455,2924,Gold,2021-10-31
253,1536,Diamond,2021-10-31
570,3620,Gold,2021-10-31
27,167,Silver,2021-10-31
580,3713,Gold,2021-10-31
409,2562,Gold,2021-10-31
205,1242,Gold,2021-10-31
773,5245,Gold,2021-10-31
487,3130,Gold,2021-10-31
177,1056,Gold,2021-10-31
632,4069,Gold,2021-10-31
445,2820,Diamond,2021-10-31
1001,9247,Gold,2021-10-31
257,1589,Gold,2021-10-31
178,1057,Gold,2021-10-31
704,4553,Diamond,2021-10-31
56,339,Gold,2021-10-31
148,834,Gold,2021-10-31
392,2496,Gold,2021-10-31
523,3319,Silver,2021-10-31
1175,12494,Gold,2021-10-31
466,2998,Gold,2021-10-31
500,3192,Gold,2021-10-31
4,42,Gold,2021-10-31
388,2488,Silver,2021-10-31
164,992,Gold,2021-10-31
489,3135,Gold,2021-10-31
626,3992,Gold,2021-10-31
1169,12354,Gold,2021-10-31
1137,11771,Diamond,2021-11-30
677,4382,Silver,2021-11-30
20,131,Gold,2021-11-30
657,4246,Silver,2021-11-30
219,1329,Gold,2021-11-30
819,5978,Diamond,2021-11-30
1177,12535,Diamond,2021-11-30
341,2156,Diamond,2021-11-30
692,4493,Gold,2021-11-30
715,4639,Silver,2021-11-30
131,725,Gold,2021-11-30
201,1223,Gold,2021-11-30
605,3874,Gold,2021-11-30
306,1929,Gold,2021-11-30
378,2430,Gold,2021-11-30
549,3504,Gold,2021-11-30
371,2388,Diamond,2021-11-30
147,826,Silver,2021-11-30
527,3348,Silver,2021-11-30
172,1030,Gold,2021-11-30
886,7325,Gold,2021-11-30
479,3085,Gold,2021-11-30
691,4492,Gold,2021-11-30
560,3577,Gold,2021-11-30
452,2910,Gold,2021-11-30
506,3236,Diamond,2021-11-30
735,4772,Gold,2021-11-30
654,4230,Gold,2021-11-30
196,1197,Gold,2021-11-30
473,3063,Gold,2021-11-30
829,6255,Gold,2021-11-30
310,1947,Silver,2021-11-30
76,464,Gold,2021-11-30
573,3638,Gold,2021-11-30
240,1459,Gold,2021-11-30
728,4725,Gold,2021-11-30
924,7862,Gold,2021-11-30
486,3128,Diamond,2021-11-30
1081,10696,Gold,2021-11-30
753,4974,Gold,2021-11-30
442,2796,Gold,2021-11-30
125,694,Diamond,2021-11-30
674,4360,Gold,2021-11-30
322,2063,Gold,2021-11-30
685,4467,Gold,2021-11-30
635,4083,Gold,2021-11-30
